name,contentId,contentType,thumb,category,description,caption,time,seconds,marketing poster,date
Sound Bath,sound_bath.mov,video,sound_bath.jpg,sound-bath,,Instructor,34:07:00,2047,x,12/9/22
Gentle Flow,yoga_gentle_flow.mov,video,yoga_gentle_flow.jpg,yoga,,Instructor,31:42:00,1902,x,11/29/22
Vinyasa,yoga_vinyasa,video,yoga_vinyasa.jpg,yoga,,Instructor,24:23:00,1463,,12/3/22
Strength,strength.mov,video,strength.jpg,strength,,Instructor,20:35:00,1235,x,12/9/22
Meditation,meditation.mov,video,meditation.jpg,meditation,,Instructor,28:24:00,1704,x,12/2/22
Hip Opener,stretch_hip_opener.mov,video,stretch_hip_opener.jpg,stretch,,Instructor,15:48,948,,11/29/22
Kinstretch,stretch_kinstretch.mov,video,stretch_kinstretch.jpg,stretch,,Instructor,30:53:00,1853,,12/2/22
Barre,barre.mov,video,barre.jpg,barre,,Instructor,23:12,1392,x,12/3/22
Pilates,pilates.mov,video,pilates.jpg,pilates,,Instructor,16:08,968,x,12/7/22
Cycling,cycling.mov,video,cycling.jpg,cycling,,Instructor,18:38,1118,x,12/7/22
Boxing,boxing.mov,video,boxing.jpg,boxing,,Instructor,29:37:00,1777,x,12/20/22
Prenatal Pilates,prenatal_pilates.mov,video,prenatal_pilates.jpg,pilates,,Instructor,41:06:00,2466,x,12/21/22