name,contentId,contentType,thumb,category,description,caption,views
My Cerebellum,M2CyUihYllw,youtube,my.jpg,nature-creeps,My Cerebellum,Bass,65
Blind Archer,9W6fkd3AtKM,youtube,blind.jpg,blind-archer,Switch,Guitar,245
Nocturnus: Dreaming,s0_hztPTXis,youtube,noc.jpg,harjo,HARJO - Nocturnus: Dreaming,Guitar,24
Portrait of a Lady,581762325,vimeo,portrait.jpg,harjo,VIMMXX - Skylar Brandt,Guitar,222
Surrounded By Scorpions,zz0bcRb8AkI,youtube,sur.jpg,nature-creeps,Surrounded By Scorpions,Bass,166
Smoke,DRzHkMpBOZE,youtube,smoke.jpg,blind-archer,Smoke - Blind Archer,Guitar,171
A Contagious Absence,PLBhejU4zK4,youtube,aca.jpg,harjo,HARJO - A Contagious Absence (Official Video),Guitar,72
Capsized and Fathoms Deep,-AgsEXNmZI8,youtube,harjocap.jpg,harjo,Capsized and Fathoms Deep Promo 1,Guitar,24
Raptures of the Deep,TsTGQAnpIzU,youtube,rap.jpg,harjo,Raptures of the Deep,Guitar,19
New Fire Ceremony,Ydb6BVQb5Bc,youtube,newfire.jpg,harjo,HARJO - New Fire Ceremony (Official Video),Guitar,44
Milton (Live),sfW08DrZMbw,youtube,milton.jpg,harjo,HARJO - Milton LIVE at C4NM 7-12-19,Guitar,17
RBN (Live),sZxpih8HYdM,youtube,rbn.jpg,rbn,River Bottom Nightmares,Guitar,"3,660"